Noun,Denominal,Non-denominal,Others
שבשבת,לשבשב ,לבשב להתבשב ,לבשוב להבשיב 
שבשבת,להשתבשב ,לבשב להתבשב ,לבשוב להבשיב 
מסתור,למסתר ,לסתר להתסתר ,לסתור להסתיר 
מסתור,להתמסתר ,לסתר להתסתר ,לסתור להסתיר 
סדרן,לסדרן ,לסדר להתסדר ,לסדור להסדיר 
סדרן,להתסדרן ,לסדר להתסדר ,לסדור להסדיר 
רבעון,לרבען ,לרבע להתרבע ,לרבוע להרביע 
רבעון,להתרבען ,לרבע להתרבע ,לרבוע להרביע 
מרסס,למרסס ,לרסס להתרסס ,לרסוס להרסיס 
מרסס,להתמרסס ,לרסס להתרסס ,לרסוס להרסיס 
תשפוכת,לתשפכ ,לשפכ להתשפכ ,לשפוכ להשפיכ 
משמרת,למשמר ,לשמר להתשמר ,לשמור להשמיר 
משמרת,להתמשמר ,לשמר להתשמר ,לשמור להשמיר 
ערמון,לערמן ,לערמ להתערמ ,לערומ להערימ 
ערמון,להתערמן ,לערמ להתערמ ,לערומ להערימ 
תעבורה,לתעבר ,לעבר להתעבר ,לעבור להעביר 
שדכן,לשדכן ,לשדכ להתשדכ ,לשדוכ להשדיכ 
שדכן,להתשדכן ,לשדכ להתשדכ ,לשדוכ להשדיכ 
מרכה,למרכה ,לרכה להתרכה ,לרכוה להרכיה 
מרכה,להתמרכה ,לרכה להתרכה ,לרכוה להרכיה 
תזכיר,לתזכר ,לזכר להתזכר ,לזכור להזכיר 
תקנון,לתקנן ,לקנן להתקנן ,לקנון להקנין 
תקנון,לתקנן ,לתקנ להתתקנ ,לתקונ להתקינ 
תקנון,להתתקנן ,לתקנ להתתקנ ,לתקונ להתקינ 
משתה,למשתה ,לשתה להתשתה ,לשתוה להשתיה 
משתה,להתמשתה ,לשתה להתשתה ,לשתוה להשתיה 
משקוף,למשקף ,לשקף להתשקף ,לשקוף להשקיף 
משקוף,להתמשקף ,לשקף להתשקף ,לשקוף להשקיף 
מחלוקת,למחלק ,לחלק להתחלק ,לחלוק להחליק 
מחלוקת,להתמחלק ,לחלק להתחלק ,לחלוק להחליק 
מערה,למערה ,לערה להתערה ,לערוה להעריה 
מערה,להתמערה ,לערה להתערה ,לערוה להעריה 
תעסוקה,לתעסק ,לעסק להתעסק ,לעסוק להעסיק 
מבטא,למבטא ,לבטא להתבטא ,לבטוא להבטיא 
מבטא,להתמבטא ,לבטא להתבטא ,לבטוא להבטיא 
מכרה,למכרה ,לכרה להתכרה ,לכרוה להכריה 
מכרה,להתמכרה ,לכרה להתכרה ,לכרוה להכריה 
ראשן,לראשן ,לראש להתראש ,לראוש להראיש 
ראשן,להתראשן ,לראש להתראש ,לראוש להראיש 
אזהרה,לאזהר ,לזהר להתזהר ,לזהור להזהיר 
אזהרה,להתאזהר ,לזהר להתזהר ,לזהור להזהיר 
מרזח,למרזח ,לרזח להתרזח ,לרזוח להרזיח 
מרזח,להתמרזח ,לרזח להתרזח ,לרזוח להרזיח 
סרטן,להתסרטן ,לסרט להתסרט ,לסרוט להסריט 
מזכרת,למזכר ,לזכר להתזכר ,לזכור להזכיר 
מזכרת,להתמזכר ,לזכר להתזכר ,לזכור להזכיר 
ממשל,לממשל ,למשל להתמשל ,למשול להמשיל 
ממשל,להתממשל ,למשל להתמשל ,למשול להמשיל 
צנחן,לצנחן ,לצנח להתצנח ,לצנוח להצניח 
צנחן,להתצנחן ,לצנח להתצנח ,לצנוח להצניח 
אדמה,לאדמה ,לדמה להתדמה ,לדמוה להדמיה 
אדמה,להתאדמה ,לדמה להתדמה ,לדמוה להדמיה 
משכורת,למשכר ,לשכר להתשכר ,לשכור להשכיר 
משכורת,להתמשכר ,לשכר להתשכר ,לשכור להשכיר 
מעלל,למעלל ,לעלל להתעלל ,לעלול להעליל 
מעלל,להתמעלל ,לעלל להתעלל ,לעלול להעליל 
מארח,למארח ,לארח להתארח ,לארוח להאריח 
מארח,להתמארח ,לארח להתארח ,לארוח להאריח 
טלפון,להתטלפן ,לטלפ להתטלפ ,לטלופ להטליפ 
רפתן,לרפתן ,לרפת להתרפת ,לרפות להרפית 
רפתן,להתרפתן ,לרפת להתרפת ,לרפות להרפית 
שלהבת,להשתלהב ,ללהב להתלהב ,ללהוב להלהיב 
תחפושת,לתחפש ,לחפש להתחפש ,לחפוש להחפיש 
אשפה,לאשפה ,לשפה להתשפה ,לשפוה להשפיה 
אשפה,להתאשפה ,לשפה להתשפה ,לשפוה להשפיה 
מזבח,למזבח ,לזבח להתזבח ,לזבוח להזביח 
מזבח,להתמזבח ,לזבח להתזבח ,לזבוח להזביח 
מעצור,למעצר ,לעצר להתעצר ,לעצור להעציר 
מעצור,להתמעצר ,לעצר להתעצר ,לעצור להעציר 
מלגה,למלגה ,ללגה להתלגה ,ללגוה להלגיה 
מלגה,להתמלגה ,ללגה להתלגה ,ללגוה להלגיה 
קלדן,לקלדן ,לקלד להתקלד ,לקלוד להקליד 
קלדן,להתקלדן ,לקלד להתקלד ,לקלוד להקליד 
דרשן,לדרשן ,לדרש להתדרש ,לדרוש להדריש 
דרשן,להתדרשן ,לדרש להתדרש ,לדרוש להדריש 
מקבל,למקבל ,לקבל להתקבל ,לקבול להקביל 
מקבל,להתמקבל ,לקבל להתקבל ,לקבול להקביל 
ארסן,לארסן ,לארס להתארס ,לארוס להאריס 
ארסן,להתארסן ,לארס להתארס ,לארוס להאריס 
ארסן,לארסן ,לרסן להתרסן ,לרסון להרסין 
ארסן,להתארסן ,לרסן להתרסן ,לרסון להרסין 
תרסיס,לתרסס ,לרסס להתרסס ,לרסוס להרסיס 
מאלף,למאלף ,לאלף להתאלף ,לאלוף להאליף 
מאלף,להתמאלף ,לאלף להתאלף ,לאלוף להאליף 
תעצומה,לתעצמ ,לעצמ להתעצמ ,לעצומ להעצימ 
מחלק,למחלק ,לחלק להתחלק ,לחלוק להחליק 
מחלק,להתמחלק ,לחלק להתחלק ,לחלוק להחליק 
אמצע,לאמצע ,למצע להתמצע ,למצוע להמציע 
אמצע,להתאמצע ,למצע להתמצע ,למצוע להמציע 
אל"מ,לאל"מ ,לל"מ להתל"מ ,לל"ומ להל"ימ 
אל"מ,להתאל"מ ,לל"מ להתל"מ ,לל"ומ להל"ימ 
מספור,להתמספר ,לספר להתספר ,לספור להספיר 
תזקיק,לתזקק ,לזקק להתזקק ,לזקוק להזקיק 
גזען,לגזען ,לגזע להתגזע ,לגזוע להגזיע 
גזען,להתגזען ,לגזע להתגזע ,לגזוע להגזיע 
מקטע,למקטע ,לקטע להתקטע ,לקטוע להקטיע 
מקטע,להתמקטע ,לקטע להתקטע ,לקטוע להקטיע 
מנזר,למנזר ,לנזר להתנזר ,לנזור להנזיר 
מנזר,להתמנזר ,לנזר להתנזר ,לנזור להנזיר 
מלכוד,להתמלכד ,ללכד להתלכד ,ללכוד להלכיד 
ח'אן,לח'אן ,לח'א להתח'א ,לח'וא להח'יא 
ח'אן,להתח'אן ,לח'א להתח'א ,לח'וא להח'יא 
מפגש,למפגש ,לפגש להתפגש ,לפגוש להפגיש 
מפגש,להתמפגש ,לפגש להתפגש ,לפגוש להפגיש 
אתגר,להתאתגר ,לתגר להתתגר ,לתגור להתגיר 
מזעור,להתמזער ,לזער להתזער ,לזעור להזעיר 
תמנון,לתמנן ,למנן להתמנן ,למנון להמנין 
תמנון,לתמנן ,לתמנ להתתמנ ,לתמונ להתמינ 
תמנון,להתתמנן ,לתמנ להתתמנ ,לתמונ להתמינ 
מחשוב,להתמחשב ,לחשב להתחשב ,לחשוב להחשיב 
מבשר,למבשר ,לבשר להתבשר ,לבשור להבשיר 
מבשר,להתמבשר ,לבשר להתבשר ,לבשור להבשיר 
מקלט,למקלט ,לקלט להתקלט ,לקלוט להקליט 
מקלט,להתמקלט ,לקלט להתקלט ,לקלוט להקליט 
תעלול,לתעלל ,לעלל להתעלל ,לעלול להעליל 
מגמה,למגמה ,לגמה להתגמה ,לגמוה להגמיה 
מגמה,להתמגמה ,לגמה להתגמה ,לגמוה להגמיה 
מפרק,למפרק ,לפרק להתפרק ,לפרוק להפריק 
מפרק,להתמפרק ,לפרק להתפרק ,לפרוק להפריק 
מעקה,למעקה ,לעקה להתעקה ,לעקוה להעקיה 
מעקה,להתמעקה ,לעקה להתעקה ,לעקוה להעקיה 
מרצע,למרצע ,לרצע להתרצע ,לרצוע להרציע 
מרצע,להתמרצע ,לרצע להתרצע ,לרצוע להרציע 
מצמד,למצמד ,לצמד להתצמד ,לצמוד להצמיד 
מצמד,להתמצמד ,לצמד להתצמד ,לצמוד להצמיד 
שאלון,לשאלן ,לשאל להתשאל ,לשאול להשאיל 
שאלון,להתשאלן ,לשאל להתשאל ,לשאול להשאיל 
מרסק,למרסק ,לרסק להתרסק ,לרסוק להרסיק 
מרסק,להתמרסק ,לרסק להתרסק ,לרסוק להרסיק 
מרצפת,למרצפ ,לרצפ להתרצפ ,לרצופ להרציפ 
מרצפת,להתמרצפ ,לרצפ להתרצפ ,לרצופ להרציפ 
תהלוכה,לתהלכ ,להלכ להתהלכ ,להלוכ לההליכ 
חרבון,להתחרבן ,לחרב להתחרב ,לחרוב להחריב 
מנחם,למנחם ,לנחם להתנחם ,לנחום להנחים 
מנחם,להתמנחם ,לנחם להתנחם ,לנחום להנחים 
משרה,למשרה ,לשרה להתשרה ,לשרוה להשריה 
משרה,להתמשרה ,לשרה להתשרה ,לשרוה להשריה 
מלכות,למלכת ,ללכת להתלכת ,ללכות להלכית 
מלכות,להתמלכת ,ללכת להתלכת ,ללכות להלכית 
אבלות,לאבלת ,לבלת להתבלת ,לבלות להבלית 
אבלות,להתאבלת ,לבלת להתבלת ,לבלות להבלית 
אדמת,לאדמת ,לדמת להתדמת ,לדמות להדמית 
אדמת,להתאדמת ,לדמת להתדמת ,לדמות להדמית 
תסמונת,לתסמנ ,לסמנ להתסמנ ,לסמונ להסמינ 
מכבש,למכבש ,לכבש להתכבש ,לכבוש להכביש 
מכבש,להתמכבש ,לכבש להתכבש ,לכבוש להכביש 
חשפן,לחשפן ,לחשפ להתחשפ ,לחשופ להחשיפ 
חשפן,להתחשפן ,לחשפ להתחשפ ,לחשופ להחשיפ 
מסעד,למסעד ,לסעד להתסעד ,לסעוד להסעיד 
מסעד,להתמסעד ,לסעד להתסעד ,לסעוד להסעיד 
פרגון,להתפרגן ,לפרג להתפרג ,לפרוג להפריג 
מפלה,למפלה ,לפלה להתפלה ,לפלוה להפליה 
מפלה,להתמפלה ,לפלה להתפלה ,לפלוה להפליה 
ממצא,לממצא ,למצא להתמצא ,למצוא להמציא 
ממצא,להתממצא ,למצא להתמצא ,למצוא להמציא 
מהדק,למהדק ,להדק להתהדק ,להדוק לההדיק 
מהדק,להתמהדק ,להדק להתהדק ,להדוק לההדיק 
מגדלת,למגדל ,לגדל להתגדל ,לגדול להגדיל 
מגדלת,להתמגדל ,לגדל להתגדל ,לגדול להגדיל 
מרכולת,למרכל ,לרכל להתרכל ,לרכול להרכיל 
מרכולת,להתמרכל ,לרכל להתרכל ,לרכול להרכיל 
מעלה,למעלה ,לעלה להתעלה ,לעלוה להעליה 
מעלה,להתמעלה ,לעלה להתעלה ,לעלוה להעליה 
מקצת,למקצת ,לקצת להתקצת ,לקצות להקצית 
מקצת,להתמקצת ,לקצת להתקצת ,לקצות להקצית 
מזרח,למזרח ,לזרח להתזרח ,לזרוח להזריח 
מזרח,להתמזרח ,לזרח להתזרח ,לזרוח להזריח 
אבזם,לאבזם ,לבזם להתבזם ,לבזום להבזים 
אבזם,להתאבזם ,לבזם להתבזם ,לבזום להבזים 
מתכון,למתכן ,למתכ להתמתכ ,למתוכ להמתיכ 
מתכון,להתמתכן ,למתכ להתמתכ ,למתוכ להמתיכ 
מתכון,למתכן ,לתכן להתתכן ,לתכון להתכין 
מתכון,להתמתכן ,לתכן להתתכן ,לתכון להתכין 
מעדר,למעדר ,לעדר להתעדר ,לעדור להעדיר 
מעדר,להתמעדר ,לעדר להתעדר ,לעדור להעדיר 
מפקח,למפקח ,לפקח להתפקח ,לפקוח להפקיח 
מפקח,להתמפקח ,לפקח להתפקח ,לפקוח להפקיח 
מאכל,למאכל ,לאכל להתאכל ,לאכול להאכיל 
מאכל,להתמאכל ,לאכל להתאכל ,לאכול להאכיל 
אשרור,להתאשרר ,לשרר להתשרר ,לשרור להשריר 
סלמון,לסלמן ,לסלמ להתסלמ ,לסלומ להסלימ 
סלמון,להתסלמן ,לסלמ להתסלמ ,לסלומ להסלימ 
חמדן,לחמדן ,לחמד להתחמד ,לחמוד להחמיד 
חמדן,להתחמדן ,לחמד להתחמד ,לחמוד להחמיד 
בלשן,לבלשן ,לבלש להתבלש ,לבלוש להבליש 
בלשן,להתבלשן ,לבלש להתבלש ,לבלוש להבליש 
תערוכה,לתערכ ,לערכ להתערכ ,לערוכ להעריכ 
תבשיל,לתבשל ,לבשל להתבשל ,לבשול להבשיל 
קרטון,לקרטן ,לקרט להתקרט ,לקרוט להקריט 
קרטון,להתקרטן ,לקרט להתקרט ,לקרוט להקריט 
אשרה,לאשרה ,לשרה להתשרה ,לשרוה להשריה 
אשרה,להתאשרה ,לשרה להתשרה ,לשרוה להשריה 
מדרון,למדרן ,למדר להתמדר ,למדור להמדיר 
מדרון,להתמדרן ,למדר להתמדר ,למדור להמדיר 
מדרון,למדרן ,לדרן להתדרן ,לדרון להדרין 
מדרון,להתמדרן ,לדרן להתדרן ,לדרון להדרין 
מדרש,למדרש ,לדרש להתדרש ,לדרוש להדריש 
מדרש,להתמדרש ,לדרש להתדרש ,לדרוש להדריש 
אשדה,לאשדה ,לשדה להתשדה ,לשדוה להשדיה 
אשדה,להתאשדה ,לשדה להתשדה ,לשדוה להשדיה 
אמרה,לאמרה ,למרה להתמרה ,למרוה להמריה 
אמרה,להתאמרה ,למרה להתמרה ,למרוה להמריה 
מסטול,למסטל ,לסטל להתסטל ,לסטול להסטיל 
תכסיס,לתכסס ,לכסס להתכסס ,לכסוס להכסיס 
מגפה,למגפה ,לגפה להתגפה ,לגפוה להגפיה 
מגפה,להתמגפה ,לגפה להתגפה ,לגפוה להגפיה 
תחמושת,לתחמש ,לחמש להתחמש ,לחמוש להחמיש 
שקרן,לשקרן ,לשקר להתשקר ,לשקור להשקיר 
שקרן,להתשקרן ,לשקר להתשקר ,לשקור להשקיר 
מגבת,למגבת ,לגבת להתגבת ,לגבות להגבית 
מגבת,להתמגבת ,לגבת להתגבת ,לגבות להגבית 
תצלום,לתצלם ,לצלם להתצלם ,לצלום להצלים 
למדן,ללמדן ,ללמד להתלמד ,ללמוד להלמיד 
למדן,להתלמדן ,ללמד להתלמד ,ללמוד להלמיד 
מהגר,למהגר ,להגר להתהגר ,להגור לההגיר 
מהגר,להתמהגר ,להגר להתהגר ,להגור לההגיר 
תשתית,לתשתת ,לשתת להתשתת ,לשתות להשתית 
מערב,למערב ,לערב להתערב ,לערוב להעריב 
מערב,להתמערב ,לערב להתערב ,לערוב להעריב 
מכפלת,למכפל ,לכפל להתכפל ,לכפול להכפיל 
מכפלת,להתמכפל ,לכפל להתכפל ,לכפול להכפיל 
מעמס,למעמס ,לעמס להתעמס ,לעמוס להעמיס 
מעמס,להתמעמס ,לעמס להתעמס ,לעמוס להעמיס 
מחנה,למחנה ,לחנה להתחנה ,לחנוה להחניה 
מחנה,להתמחנה ,לחנה להתחנה ,לחנוה להחניה 
מגלב,למגלב ,לגלב להתגלב ,לגלוב להגליב 
מגלב,להתמגלב ,לגלב להתגלב ,לגלוב להגליב 
מרשעת,למרשע ,לרשע להתרשע ,לרשוע להרשיע 
מרשעת,להתמרשע ,לרשע להתרשע ,לרשוע להרשיע 
תמנית,לתמנת ,למנת להתמנת ,למנות להמנית 
חסרון,לחסרן ,לחסר להתחסר ,לחסור להחסיר 
חסרון,להתחסרן ,לחסר להתחסר ,לחסור להחסיר 
משרד,למשרד ,לשרד להתשרד ,לשרוד להשריד 
משרד,להתמשרד ,לשרד להתשרד ,לשרוד להשריד 
תדמית,לתדמת ,לדמת להתדמת ,לדמות להדמית 
אכלן,לאכלן ,לאכל להתאכל ,לאכול להאכיל 
אכלן,להתאכלן ,לאכל להתאכל ,לאכול להאכיל 
אכלן,לאכלן ,לכלן להתכלן ,לכלון להכלין 
אכלן,להתאכלן ,לכלן להתכלן ,לכלון להכלין 
מפתח,למפתח ,לפתח להתפתח ,לפתוח להפתיח 
מפתח,להתמפתח ,לפתח להתפתח ,לפתוח להפתיח 
אלמוג,לאלמג ,ללמג להתלמג ,ללמוג להלמיג 
אלמוג,להתאלמג ,ללמג להתלמג ,ללמוג להלמיג 
משקה,למשקה ,לשקה להתשקה ,לשקוה להשקיה 
משקה,להתמשקה ,לשקה להתשקה ,לשקוה להשקיה 
מאסף,למאסף ,לאסף להתאסף ,לאסוף להאסיף 
מאסף,להתמאסף ,לאסף להתאסף ,לאסוף להאסיף 
שמרן,לשמרן ,לשמר להתשמר ,לשמור להשמיר 
שמרן,להתשמרן ,לשמר להתשמר ,לשמור להשמיר 
מפתן,למפתן ,למפת להתמפת ,למפות להמפית 
מפתן,להתמפתן ,למפת להתמפת ,למפות להמפית 
מפתן,למפתן ,לפתן להתפתן ,לפתון להפתין 
מפתן,להתמפתן ,לפתן להתפתן ,לפתון להפתין 
משען,למשען ,למשע להתמשע ,למשוע להמשיע 
משען,להתמשען ,למשע להתמשע ,למשוע להמשיע 
משען,למשען ,לשען להתשען ,לשעון להשעין 
משען,להתמשען ,לשען להתשען ,לשעון להשעין 
משמורת,למשמר ,לשמר להתשמר ,לשמור להשמיר 
משמורת,להתמשמר ,לשמר להתשמר ,לשמור להשמיר 
דלפון,לדלפן ,לדלפ להתדלפ ,לדלופ להדליפ 
דלפון,להתדלפן ,לדלפ להתדלפ ,לדלופ להדליפ 
מקדח,למקדח ,לקדח להתקדח ,לקדוח להקדיח 
מקדח,להתמקדח ,לקדח להתקדח ,לקדוח להקדיח 
מעקף,למעקף ,לעקף להתעקף ,לעקוף להעקיף 
מעקף,להתמעקף ,לעקף להתעקף ,לעקוף להעקיף 
אספה,לאספה ,לספה להתספה ,לספוה להספיה 
אספה,להתאספה ,לספה להתספה ,לספוה להספיה 
תעמולה,לתעמל ,לעמל להתעמל ,לעמול להעמיל 
מזנון,למזנן ,למזנ להתמזנ ,למזונ להמזינ 
מזנון,להתמזנן ,למזנ להתמזנ ,למזונ להמזינ 
מזנון,למזנן ,לזנן להתזנן ,לזנון להזנין 
מזנון,להתמזנן ,לזנן להתזנן ,לזנון להזנין 
תסמין,לתסמן ,לסמן להתסמן ,לסמון להסמין 
אשנב,לאשנב ,לשנב להתשנב ,לשנוב להשניב 
אשנב,להתאשנב ,לשנב להתשנב ,לשנוב להשניב 
מספוא,למספא ,לספא להתספא ,לספוא להספיא 
מספוא,להתמספא ,לספא להתספא ,לספוא להספיא 
ספקן,לספקן ,לספק להתספק ,לספוק להספיק 
ספקן,להתספקן ,לספק להתספק ,לספוק להספיק 
אלתור,להתאלתר ,ללתר להתלתר ,ללתור להלתיר 
משכן,להתמשכן ,למשכ להתמשכ ,למשוכ להמשיכ 
משכן,להתמשכן ,לשכן להתשכן ,לשכון להשכין 
תמהיל,לתמהל ,למהל להתמהל ,למהול להמהיל 
מגבה,למגבה ,לגבה להתגבה ,לגבוה להגביה 
מגבה,להתמגבה ,לגבה להתגבה ,לגבוה להגביה 
מרעה,למרעה ,לרעה להתרעה ,לרעוה להרעיה 
מרעה,להתמרעה ,לרעה להתרעה ,לרעוה להרעיה 
מסחר,להתמסחר ,לסחר להתסחר ,לסחור להסחיר 
מרבץ,למרבץ ,לרבץ להתרבץ ,לרבוץ להרביץ 
מרבץ,להתמרבץ ,לרבץ להתרבץ ,לרבוץ להרביץ 
מעטה,למעטה ,לעטה להתעטה ,לעטוה להעטיה 
מעטה,להתמעטה ,לעטה להתעטה ,לעטוה להעטיה 
תקבול,לתקבל ,לקבל להתקבל ,לקבול להקביל 
מחמל,למחמל ,לחמל להתחמל ,לחמול להחמיל 
מחמל,להתמחמל ,לחמל להתחמל ,לחמול להחמיל 
מרגל,למרגל ,לרגל להתרגל ,לרגול להרגיל 
מרגל,להתמרגל ,לרגל להתרגל ,לרגול להרגיל 
מפרט,למפרט ,לפרט להתפרט ,לפרוט להפריט 
מפרט,להתמפרט ,לפרט להתפרט ,לפרוט להפריט 
תרשים,לתרשם ,לרשם להתרשם ,לרשום להרשים 
סגנון,לסגנן ,לסגנ להתסגנ ,לסגונ להסגינ 
סגנון,להתסגנן ,לסגנ להתסגנ ,לסגונ להסגינ 
מנהג,למנהג ,לנהג להתנהג ,לנהוג להנהיג 
מנהג,להתמנהג ,לנהג להתנהג ,לנהוג להנהיג 
מרקחת,למרקח ,לרקח להתרקח ,לרקוח להרקיח 
מרקחת,להתמרקח ,לרקח להתרקח ,לרקוח להרקיח 
מפעל,למפעל ,לפעל להתפעל ,לפעול להפעיל 
מפעל,להתמפעל ,לפעל להתפעל ,לפעול להפעיל 
מלבוש,למלבש ,ללבש להתלבש ,ללבוש להלביש 
מלבוש,להתמלבש ,ללבש להתלבש ,ללבוש להלביש 
עסקן,לעסקן ,לעסק להתעסק ,לעסוק להעסיק 
עסקן,להתעסקן ,לעסק להתעסק ,לעסוק להעסיק 
משקף,למשקף ,לשקף להתשקף ,לשקוף להשקיף 
משקף,להתמשקף ,לשקף להתשקף ,לשקוף להשקיף 
תסכית,לתסכת ,לסכת להתסכת ,לסכות להסכית 
חנקן,לחנקן ,לחנק להתחנק ,לחנוק להחניק 
חנקן,להתחנקן ,לחנק להתחנק ,לחנוק להחניק 
פתרון,לפתרן ,לפתר להתפתר ,לפתור להפתיר 
פתרון,להתפתרן ,לפתר להתפתר ,לפתור להפתיר 
מנדט,למנדט ,לנדט להתנדט ,לנדוט להנדיט 
מנדט,להתמנדט ,לנדט להתנדט ,לנדוט להנדיט 
אהבה,לאהבה ,להבה להתהבה ,להבוה לההביה 
אהבה,להתאהבה ,להבה להתהבה ,להבוה לההביה 
מסכת,למסכת ,לסכת להתסכת ,לסכות להסכית 
מסכת,להתמסכת ,לסכת להתסכת ,לסכות להסכית 
תשקיף,לתשקף ,לשקף להתשקף ,לשקוף להשקיף 
מחצב,למחצב ,לחצב להתחצב ,לחצוב להחציב 
מחצב,להתמחצב ,לחצב להתחצב ,לחצוב להחציב 
אבחנה,לאבחנ ,לבחנ להתבחנ ,לבחונ להבחינ 
אבחנה,להתאבחנ ,לבחנ להתבחנ ,לבחונ להבחינ 
מבחן,למבחן ,למבח להתמבח ,למבוח להמביח 
מבחן,להתמבחן ,למבח להתמבח ,למבוח להמביח 
מבחן,למבחן ,לבחן להתבחן ,לבחון להבחין 
מבחן,להתמבחן ,לבחן להתבחן ,לבחון להבחין 
מרכב,למרכב ,לרכב להתרכב ,לרכוב להרכיב 
מרכב,להתמרכב ,לרכב להתרכב ,לרכוב להרכיב 
מזרע,למזרע ,לזרע להתזרע ,לזרוע להזריע 
מזרע,להתמזרע ,לזרע להתזרע ,לזרוע להזריע 
מפסק,למפסק ,לפסק להתפסק ,לפסוק להפסיק 
מפסק,להתמפסק ,לפסק להתפסק ,לפסוק להפסיק 
מהפך,למהפך ,להפך להתהפך ,להפוך לההפיך 
מהפך,להתמהפך ,להפך להתהפך ,להפוך לההפיך 
מדרג,למדרג ,לדרג להתדרג ,לדרוג להדריג 
מדרג,להתמדרג ,לדרג להתדרג ,לדרוג להדריג 
גרמני,לגרמן ,לגרמ להתגרמ ,לגרומ להגרימ 
גרמני,להתגרמן ,לגרמ להתגרמ ,לגרומ להגרימ 
מטאור,למטאר ,לטאר להתטאר ,לטאור להטאיר 
מטאור,להתמטאר ,לטאר להתטאר ,לטאור להטאיר 
מבטח,למבטח ,לבטח להתבטח ,לבטוח להבטיח 
מבטח,להתמבטח ,לבטח להתבטח ,לבטוח להבטיח 
מפגע,למפגע ,לפגע להתפגע ,לפגוע להפגיע 
מפגע,להתמפגע ,לפגע להתפגע ,לפגוע להפגיע 
אחזור,לאחזר ,לחזר להתחזר ,לחזור להחזיר 
אחזור,להתאחזר ,לחזר להתחזר ,לחזור להחזיר 
מחנך,למחנך ,לחנך להתחנך ,לחנוך להחניך 
מחנך,להתמחנך ,לחנך להתחנך ,לחנוך להחניך 
תקדים,לתקדם ,לקדם להתקדם ,לקדום להקדים 
מרקם,למרקם ,לרקם להתרקם ,לרקום להרקים 
מרקם,להתמרקם ,לרקם להתרקם ,לרקום להרקים 
מסגרת,להתמסגר ,לסגר להתסגר ,לסגור להסגיר 
צדקן,לצדקן ,לצדק להתצדק ,לצדוק להצדיק 
צדקן,להתצדקן ,לצדק להתצדק ,לצדוק להצדיק 
תחמוצת,לתחמצ ,לחמצ להתחמצ ,לחמוצ להחמיצ 
מחלף,למחלף ,לחלף להתחלף ,לחלוף להחליף 
מחלף,להתמחלף ,לחלף להתחלף ,לחלוף להחליף 
מארג,למארג ,לארג להתארג ,לארוג להאריג 
מארג,להתמארג ,לארג להתארג ,לארוג להאריג 
מכמונת,למכמנ ,לכמנ להתכמנ ,לכמונ להכמינ 
מכמונת,להתמכמנ ,לכמנ להתכמנ ,לכמונ להכמינ 
מעקב,למעקב ,לעקב להתעקב ,לעקוב להעקיב 
מעקב,להתמעקב ,לעקב להתעקב ,לעקוב להעקיב 
אחסון,להתאחסן ,לאחס להתאחס ,לאחוס להאחיס 
אחסון,להתאחסן ,לחסן להתחסן ,לחסון להחסין 
תשליל,לתשלל ,לשלל להתשלל ,לשלול להשליל 
תשקורת,לתשקר ,לשקר להתשקר ,לשקור להשקיר 
מחשב,להתמחשב ,לחשב להתחשב ,לחשוב להחשיב 
מבדק,למבדק ,לבדק להתבדק ,לבדוק להבדיק 
מבדק,להתמבדק ,לבדק להתבדק ,לבדוק להבדיק 
שבתון,לשבתן ,לשבת להתשבת ,לשבות להשבית 
שבתון,להתשבתן ,לשבת להתשבת ,לשבות להשבית 
מלמד,למלמד ,ללמד להתלמד ,ללמוד להלמיד 
מלמד,להתמלמד ,ללמד להתלמד ,ללמוד להלמיד 
מדגם,למדגם ,לדגם להתדגם ,לדגום להדגים 
מדגם,להתמדגם ,לדגם להתדגם ,לדגום להדגים 
משרת,למשרת ,לשרת להתשרת ,לשרות להשרית 
משרת,להתמשרת ,לשרת להתשרת ,לשרות להשרית 
חדרן,לחדרן ,לחדר להתחדר ,לחדור להחדיר 
חדרן,להתחדרן ,לחדר להתחדר ,לחדור להחדיר 
קרבן,לקרבן ,לקרב להתקרב ,לקרוב להקריב 
קרבן,להתקרבן ,לקרב להתקרב ,לקרוב להקריב 
מפלג,למפלג ,לפלג להתפלג ,לפלוג להפליג 
מפלג,להתמפלג ,לפלג להתפלג ,לפלוג להפליג 
מעצב,למעצב ,לעצב להתעצב ,לעצוב להעציב 
מעצב,להתמעצב ,לעצב להתעצב ,לעצוב להעציב 
מערך,למערך ,לערך להתערך ,לערוך להעריך 
מערך,להתמערך ,לערך להתערך ,לערוך להעריך 
אמבט,לאמבט ,למבט להתמבט ,למבוט להמביט 
אמבט,להתאמבט ,למבט להתמבט ,למבוט להמביט 
מאגר,למאגר ,לאגר להתאגר ,לאגור להאגיר 
מאגר,להתמאגר ,לאגר להתאגר ,לאגור להאגיר 
קטלן,לקטלן ,לקטל להתקטל ,לקטול להקטיל 
קטלן,להתקטלן ,לקטל להתקטל ,לקטול להקטיל 
מחזור,להתמחזר ,לחזר להתחזר ,לחזור להחזיר 
מחדל,למחדל ,לחדל להתחדל ,לחדול להחדיל 
מחדל,להתמחדל ,לחדל להתחדל ,לחדול להחדיל 
מטמון,למטמן ,למטמ להתמטמ ,למטומ להמטימ 
מטמון,להתמטמן ,למטמ להתמטמ ,למטומ להמטימ 
